Actor1,Actor2,Actor3,Actor4,Director,Producer,Music,Outcome
Dimple Kapadia,Manu Rishi Chadha,Manjot Singh,Anand Tiwari,Gurmmeet Singh,Kumud Shahi Malik,Amartya Rahut,1
Saif Ali Khan,Kunal Khemu,Vir Das,Anand Tiwari,Raj Nidimoru,Sunil A Lulla,Krishna DK,3
Vinay Pathak,Anand Tiwari,Rajat Kapoor,Sadia Siddiqui,Praveen Kumar,Andaaz Productions,Manish J. Tipu,1
Mohit Ahlawat,Kalki Koechlin,Vinay Pathak,Anand Tiwari,Mangesh Dhadke,Vinay Gutte,Mangesh Dhakde,2
Sunny Leone,Parvin Dabas,Sandhya Mridul,Sonia Mehra,Bhushan Patel,Ekta Kapoor,Meet Bros Anjjan,4
Sunny Leone,Sachiin Joshi,Naseeruddin Shah,Makrand Deshpande,Kaizad Gustad,Raina Sachiin Joshi,SharibToshi,3
Sunny Leone,Randeep Hooda,Arunoday Singh,Arif Zakaria,Sanjay Gupta,Sanjay Gupta,Anu Malik,3
Suniel Shetty,Akhil Kapur,Jay Bhanushali,Murli Shama,Anand Kumar,Anand Kumar,Kailash Kher,2
Nana Patekar,Anurag Kashyap,Mohit Ahlawat,Zakir Hussain,Tigmanshu Dhulia,Asif Shaikh,Abhishek Ray,2
Mohit Ahlawat,Nisha Kothari,Upendra Limaye,Shereveer Vakil,Ram Gopal Varma,Ram Gopal Varma,Ilayya Raja,2
Mohit Ahlawat,Nisha Kothari,Zakir Hussain,Raima Sen,Rohit Jugraj,Ram Gopal Varma,BapiTutul,1
Rajneesh Duggal,Juhi Chawla,Hrithik Roshan,Katrina Kaif,Rajiv Ruia,Nandan Mohato,Amjad Nadeem,1
Karishma Kapoor,Rajneesh Duggal,Ruslaan Mumtaz,Aarya Babbar,Vikram Bhatt,Arun Rangachari,Himesh Reshammiya,3
Rajneesh Duggal,Tanisha Mukherjee,Tulip Joshi,Rajpal Yadav,Chandrakant Singh,Chandrakant Singh,Siddharth,1
Rajneesh Duggal,Adah Sharma,Roshni Chopra,Parag Tyagi,Girish Dhamija,Surendra Sharma,SharibToshi,1
Rajneesh Duggal,Barkha Bhist,Dilip Thadeshwar,Amita Bishnoi,Vikram Bhatt,Surendra Sharma,Adnan Sami,2
Arjun Kapoor,Deepika Padukone,Naseeruddin Shah,Pankaj Kapoor,Homi Adajania,Dinesh Vijan,Mathias Duplessy,4
Arshad Warsi,Naseeruddin Shah,Madhuri Dixit,Huma Qureshi,Abhishek Chaubey,Vishal Bhardwaj,Vishal Bhardwaj,3
Hrithik Roshan,Priyanka Chopra,Vivek Oberoi,Naseeruddin Shah,Rakesh Roshan,Rakesh Roshan,Rajesh Roshan,4
Naseeruddin Shah,Aahana Kumrah,Shruti Vyas,Pooja Pradhan,Makrand Deshpande,Madan Paliwal,Shailendra Barve,1
Sonu Sood,Naseeruddin Shah,Neha Dhupia,Vinay Pathak,Kabeer Kaushik,Kabeer Kaushik,Amjad Nadeem,2
Akash Sagar,Arshad Warsi,Paresh Rawal,Raj Babbar,Amrit Sagar,Moti Sagar,SalimSulaiman,1
Jackie Shroff,Urmila Matondkar,Paresh Rawal,Boman Irani,Sunil Advani,Sunil Advani,Jeet Ganguly,2
Ajay Devgn,Tamannaah Bhatia,Paresh Rawal,Zarina Wahab,Sajid Khan,Vashu Bhagnani,SajidWajid,3
Sanjay Dutt,Arshad Warsi,Vivek Oberoi,Paresh Rawal,Anand Kumar,Vinod Bachchan,Bappa Lahiri,3
Rajeev Khandelwal,Tena Desae,Paresh Rawal,Dhruv Ganesh,Aditya Datt,Sunil A Lulla,Gajendra Verma,2
Nishan Nanaiah,Annu Kapoor,Varun Kashyap,Shashi Bhushan Chaturvedi,Shailesh Verma,Satish Pillangwad,Sachin Gupta,2
